neighbourhood,listing_count,known_host_count,avg_price,median_price,avg_availability_rate,avg_occupancy_proxy,avg_review_score,total_reviews,avg_reviews_per_listing,total_revenue_proxy,avg_revenue_proxy,listings_missing_price
De Baarsjes - Oud-West,1825,1710,364.68,328.0,0.2261,0.7739,4.87,69085.0,37.85,88390081.0,82376.59,752.0
Centrum-West,1217,923,398.36,290.0,0.3376,0.6624,4.82,116784.0,95.96,65092219.0,74221.46,340.0
De Pijp - Rivierenbuurt,1201,1113,380.78,333.5,0.2522,0.7478,4.86,47109.0,39.22,53207727.0,75794.48,499.0
Centrum-Oost,933,708,350.41,282.5,0.36,0.64,4.81,85025.0,91.13,44237061.0,65246.4,255.0
Zuid,709,649,401.85,327.0,0.2984,0.7016,4.88,28645.0,40.4,35151047.0,78113.44,259.0
Westerpark,720,680,332.57,286.0,0.2152,0.7848,4.87,27910.0,38.76,30809751.0,76073.46,315.0
Oud-Oost,670,598,308.24,276.0,0.2418,0.7582,4.86,25575.0,38.17,25874801.0,66687.63,282.0
Oud-Noord,479,428,357.02,266.0,0.2248,0.7752,4.85,25295.0,52.81,19369930.0,68444.98,196.0
Bos en Lommer,546,527,281.79,265.0,0.1675,0.8325,4.87,17223.0,31.54,17675443.0,68776.04,289.0
Oostelijk Havengebied - Indische Buurt,411,391,290.24,262.0,0.2123,0.7877,4.86,16186.0,39.38,14748957.0,63848.3,180.0
Noord-West,312,292,265.23,259.0,0.2008,0.7992,4.87,10339.0,33.14,14127902.0,68916.6,107.0
Watergraafsmeer,304,272,311.24,280.0,0.2552,0.7448,4.86,10560.0,34.74,13291645.0,71460.46,118.0
IJburg - Zeeburgereiland,187,174,330.72,287.0,0.2342,0.7658,4.85,8494.0,45.42,8675081.0,74785.18,71.0
Noord-Oost,179,154,288.65,266.5,0.2646,0.7354,4.87,7073.0,39.51,8353883.0,67370.02,55.0
Slotervaart,223,196,253.38,233.0,0.2283,0.7717,4.87,10228.0,45.87,6851824.0,56626.64,102.0
Geuzenveld - Slotermeer,141,109,250.29,233.0,0.2782,0.7218,4.78,5544.0,39.32,5469557.0,58186.78,47.0
Buitenveldert - Zuidas,119,95,313.99,240.0,0.3761,0.6239,4.78,4212.0,35.39,4754582.0,54650.37,32.0
De Aker - Nieuw Sloten,71,62,233.89,209.0,0.298,0.702,4.86,4921.0,69.31,2288417.0,49748.2,25.0
Bijlmer-Centrum,66,41,184.25,147.0,0.4175,0.5825,4.73,7121.0,107.89,1883842.0,36938.08,15.0
Osdorp,59,50,175.05,153.0,0.3118,0.6882,4.83,12368.0,209.63,1417100.0,35427.5,19.0
Gaasperdam - Driemond,54,44,193.06,162.0,0.3144,0.6856,4.7,3819.0,70.72,1349910.0,40906.36,21.0
Bijlmer-Oost,39,33,206.67,120.5,0.2225,0.7775,4.79,1646.0,42.21,1153954.0,48081.42,15.0
