neighbourhood,listing_count,avg_price,median_price,avg_availability_rate,avg_occupancy_proxy,total_detailed_reviews,total_estimated_revenue_proxy
De Baarsjes - Oud-West,1825,364.68,328.0,0.2261,0.7739,69085.0,88390081.0
Centrum-West,1217,398.36,290.0,0.3376,0.6624,116784.0,65092219.0
De Pijp - Rivierenbuurt,1201,380.78,333.5,0.2522,0.7478,47109.0,53207727.0
Centrum-Oost,933,350.41,282.5,0.36,0.64,85025.0,44237061.0
Zuid,709,401.85,327.0,0.2984,0.7016,28645.0,35151047.0
Westerpark,720,332.57,286.0,0.2152,0.7848,27910.0,30809751.0
Oud-Oost,670,308.24,276.0,0.2418,0.7582,25575.0,25874801.0
Oud-Noord,479,357.02,266.0,0.2248,0.7752,25295.0,19369930.0
Bos en Lommer,546,281.79,265.0,0.1675,0.8325,17223.0,17675443.0
Oostelijk Havengebied - Indische Buurt,411,290.24,262.0,0.2123,0.7877,16186.0,14748957.0
Noord-West,312,265.23,259.0,0.2008,0.7992,10339.0,14127902.0
Watergraafsmeer,304,311.24,280.0,0.2552,0.7448,10560.0,13291645.0
IJburg - Zeeburgereiland,187,330.72,287.0,0.2342,0.7658,8494.0,8675081.0
Noord-Oost,179,288.65,266.5,0.2646,0.7354,7073.0,8353883.0
Slotervaart,223,253.38,233.0,0.2283,0.7717,10228.0,6851824.0
Geuzenveld - Slotermeer,141,250.29,233.0,0.2782,0.7218,5544.0,5469557.0
Buitenveldert - Zuidas,119,313.99,240.0,0.3761,0.6239,4212.0,4754582.0
De Aker - Nieuw Sloten,71,233.89,209.0,0.298,0.702,4921.0,2288417.0
Bijlmer-Centrum,66,184.25,147.0,0.4175,0.5825,7121.0,1883842.0
Osdorp,59,175.05,153.0,0.3118,0.6882,12368.0,1417100.0
Gaasperdam - Driemond,54,193.06,162.0,0.3144,0.6856,3819.0,1349910.0
Bijlmer-Oost,39,206.67,120.5,0.2225,0.7775,1646.0,1153954.0
