feature,spearman_correlation
estimated_revenue_proxy,0.5517337696890018
accommodates,0.525068089223508
bedrooms,0.516669047518624
beds,0.4242463386300308
reviews_per_month,-0.37726984137653063
avg_reviews_per_year,-0.3753985543836494
calculated_host_listings_count,-0.32113140011688235
bathrooms,0.3138994482394164
detailed_reviews_last_365d,-0.29353020737175245
review_scores_location,0.27583790812341924
amenities_count,0.2715465833187348
review_scores_rating,0.2661197141888834
unique_reviewer_count,-0.25039712658331503
number_of_reviews,-0.2501821372672712
detailed_review_count,-0.2501821372672712
neighbourhood_median_price,0.2091236037772706
minimum_nights,0.18782071530824257
review_scores_cleanliness,0.1629881226259377
review_scores_value,0.15489638843402398
weekday_availability_rate,-0.05807934487417922
occupancy_proxy,0.05351813042985191
availability_rate,-0.05351813042985191
availability_365,-0.0523150810249523
weekend_availability_rate,-0.04221881795333602
neighbourhood_avg_occupancy_proxy,-0.015771121167020796
