feature_1,feature_2,spearman_correlation,absolute_correlation
availability_rate,occupancy_proxy,-1.0,1.0
number_of_reviews,detailed_review_count,1.0,1.0
detailed_review_count,unique_reviewer_count,0.9999258214495397,0.9999258214495397
number_of_reviews,unique_reviewer_count,0.9999258214495397,0.9999258214495397
availability_365,occupancy_proxy,-0.9993697213187699,0.9993697213187699
availability_365,availability_rate,0.9993697213187699,0.9993697213187699
availability_rate,weekday_availability_rate,0.9989690057390249,0.9989690057390249
occupancy_proxy,weekday_availability_rate,-0.9989690057390249,0.9989690057390249
reviews_per_month,avg_reviews_per_year,0.9984578683590716,0.9984578683590716
availability_365,weekday_availability_rate,0.9983364819544935,0.9983364819544935
occupancy_proxy,weekend_availability_rate,-0.9957822367592758,0.9957822367592758
availability_rate,weekend_availability_rate,0.9957822367592758,0.9957822367592758
availability_365,weekend_availability_rate,0.9951486676170329,0.9951486676170329
weekend_availability_rate,weekday_availability_rate,0.9931721048549826,0.9931721048549826
accommodates,beds,0.8213685145428077,0.8213685145428077
reviews_per_month,detailed_reviews_last_365d,0.8064950750740425,0.8064950750740425
detailed_reviews_last_365d,avg_reviews_per_year,0.8020422680729977,0.8020422680729977
accommodates,bedrooms,0.7978020399819612,0.7978020399819612
weekday_availability_rate,estimated_revenue_proxy,-0.7898643702806339,0.7898643702806339
availability_rate,estimated_revenue_proxy,-0.7876192006780213,0.7876192006780213
