listing_id,listing_name,room_type,neighbourhood,price_numeric,availability_rate,occupancy_proxy,review_scores_rating,detailed_review_count
2474754,pay a little more   get a lot more,Entire home/apt,Centrum-West,11412.0,1.0,0.0,4.71,24
1548025772403046607,Luxurious familyhome in Amsterdam South,Entire home/apt,De Pijp - Rivierenbuurt,11412.0,0.9041,0.0959,3.0,1
612289973482163299,Enjoy ShipStays in Amsterdam!,Entire home/apt,Oud-Noord,7200.0,0.9808,0.0192,,0
643315499225242586,Enjoy ShipStays in Amsterdam!,Entire home/apt,Oud-Noord,7200.0,0.9808,0.0192,,0
42910448,Appartement centrum Amsterdam,Entire home/apt,Zuid,5706.0,1.0,0.0,,0
968203403339639631,Elegant & unique townhouse in famous canal area,Entire home/apt,Centrum-West,3383.0,0.9836,0.0164,,0
1693616534399481978,Unique Art Deco Canal House in Amsterdam Centre,Entire home/apt,Centrum-West,3025.0,0.9918,0.0082,,0
1698438915127575870,Luxe Canal House • Private Garden • 4br • Centre,Entire home/apt,Centrum-West,2700.0,0.2082,0.7918,,0
15304003,Luxury houseboat Amsterdam Centre! (3BR 2BA 110m²),Entire home/apt,Centrum-Oost,2477.0,0.9836,0.0164,4.93,27
984625805593041593,Luxurious Penthouse | 360 ° view | Privacy | ADAM,Entire home/apt,Centrum-West,2354.0,0.3315,0.6685,4.87,15
1653697531423374067,Iconic Luxurious Canal House in Famous Canal Area,Entire home/apt,Centrum-West,2304.0,0.8959,0.1041,,0
1501290049813309168,Luxe Farm met Spa in Amsterdam,Entire home/apt,Noord-Oost,2283.0,0.1205,0.8795,,0
721526610086726373,Lovely 5-bedroom loft with plunge pool,Entire home/apt,Westerpark,2277.0,0.9918,0.0082,,0
2540979,Family Home in Amsterdam Zuid,Entire home/apt,Zuid,2030.0,0.7671,0.2329,5.0,3
1568967768686751783,The Cave - Amsterdam (epic group stay 6-12 pers.),Entire home/apt,Oud-Noord,1912.0,0.8959,0.1041,4.8,5
1451544541626218882,High-End Townhouse + Garden,Entire home/apt,Oud-Oost,1887.0,0.9918,0.0082,,0
644177287921855374,Luxury 97m2 Penthouse Amsterdam City Center,Entire home/apt,Centrum-West,1855.0,0.9808,0.0192,4.95,20
28973126,Keizers House,Entire home/apt,Centrum-Oost,1855.0,0.2438,0.7562,4.96,54
19885353,DePijp/ ground floor 250sqm House/garden + terrace,Entire home/apt,De Pijp - Rivierenbuurt,1826.0,0.7342,0.2658,4.95,19
1568878616442265761,Maison Glamsterdam (unique group stay 8-18 pers.),Entire home/apt,Oud-Noord,1797.0,0.9178,0.0822,5.0,1
