feature,missing_count,missing_percentage
instant_bookable,6471,100.0
bathrooms,1160,17.93
bedrooms,1007,15.56
beds,861,13.31
review_scores_cleanliness,731,11.3
review_scores_value,731,11.3
review_scores_location,731,11.3
review_scores_rating,731,11.3
avg_reviews_per_year,649,10.03
reviews_per_month,647,10.0
host_is_superhost,232,3.59
host_identity_verified,232,3.59
amenities_count,94,1.45
property_type,94,1.45
accommodates,94,1.45
calculated_host_listings_count,94,1.45
host_portfolio_segment,94,1.45
minimum_nights,3,0.05
weekday_availability_rate,0,0.0
availability_rate,0,0.0
availability_365,0,0.0
weekend_availability_rate,0,0.0
occupancy_proxy,0,0.0
number_of_reviews,0,0.0
neighbourhood_avg_occupancy_proxy,0,0.0
neighbourhood_median_price,0,0.0
detailed_reviews_last_365d,0,0.0
unique_reviewer_count,0,0.0
detailed_review_count,0,0.0
room_type,0,0.0
availability_segment,0,0.0
neighbourhood,0,0.0
